,playerId,marketValue_final,2021-05-30 00:00:00,2021-06-06 00:00:00,2021-06-13 00:00:00,2021-06-20 00:00:00,2021-06-27 00:00:00,2021-07-04 00:00:00,2021-07-11 00:00:00,2021-07-18 00:00:00,2021-07-25 00:00:00,2021-08-01 00:00:00,2021-08-08 00:00:00,2021-08-15 00:00:00,2021-08-22 00:00:00,2021-08-29 00:00:00,2021-09-05 00:00:00,2021-09-12 00:00:00,2021-09-19 00:00:00,2021-09-26 00:00:00,2021-10-03 00:00:00,2021-10-10 00:00:00,2021-10-17 00:00:00,2021-10-24 00:00:00,2021-10-31 00:00:00,2021-11-07 00:00:00,2021-11-14 00:00:00,2021-11-21 00:00:00,2021-11-28 00:00:00,2021-12-05 00:00:00,2021-12-12 00:00:00,marketValue_initial,shortName,lastName,Name
303,40331,2415828.008136977,2475767.0,2475767.0,2480718.534,2485679.971068,2498108.37092334,2520591.34626165,2472700.1106826784,2415828.008136977,2415828.008136977,2415828.008136977,2415828.008136977,2415828.008136977,2415828.008136977,2415828.008136977,2415828.008136977,2415828.008136977,2415828.008136977,2415828.008136977,2415828.008136977,2415828.008136977,2415828.008136977,2415828.008136977,2415828.008136977,2415828.008136977,2415828.008136977,2415828.008136977,2415828.008136977,2415828.008136977,2415828.008136977,2475767.0,Elton,Melo Ataíde,"Elton, Melo Ataíde"
304,44443,2351087.749104797,2398523.0,2362545.155,2346007.3389149997,2329585.2875425946,2329585.2875425946,2329585.2875425946,2266686.4847789444,2266686.4847789444,2266686.4847789444,2266686.4847789444,2250819.6793854916,2266575.4171411903,2266575.4171411903,2266575.4171411903,2266575.4171411903,2257509.1154726255,2257509.1154726255,2284599.224858297,2284599.224858297,2284599.224858297,2259468.633384856,2259468.633384856,2259468.633384856,2259468.633384856,2297879.6001523985,2309368.9981531603,2309368.9981531603,2320915.843143926,2351087.749104797,2398523.0,Ricardinho,Ribeiro de Lima,"Ricardinho, Ribeiro de Lima"
305,45870,2729887.466991226,2622565.608,2622565.608,2625188.173608,2591060.727351096,2611789.213169905,2593506.6886777156,2575352.1418569717,2547023.268296545,2547023.268296545,2547023.268296545,2529194.1054184693,2508960.5525751216,2508960.5525751216,2498924.7103648214,2488929.0115233622,2498884.7275694557,2498884.7275694557,2531370.2290278585,2531370.2290278585,2531370.2290278585,2559215.301547165,2584807.4545626366,2610655.529108263,2610655.529108263,2655036.6731031034,2686897.1131803407,2729887.466991226,2729887.466991226,2729887.466991226,2633098.0,Chico kim,Hyun Sol Kim,"Chico kim, Hyun Sol Kim"
306,170292,2704285.592946204,2885667.0,2885667.0,2885667.0,2885667.0,2885667.0,2865467.331,2811023.451711,2780102.193742179,2780102.193742179,2780102.193742179,2780102.193742179,2780102.193742179,2780102.193742179,2780102.193742179,2780102.193742179,2760641.4783859835,2760641.4783859835,2785487.2516914573,2785487.2516914573,2713064.583147479,2672368.614400267,2677713.3516290677,2704490.4851453584,2704490.4851453584,2704490.4851453584,2693672.523204777,2693672.523204777,2677510.4880655482,2704285.592946204,2885667.0,Jádson,Alves dos Santos,"Jádson, Alves dos Santos"
307,485408,5181100.946520351,5422977.0,5422977.0,5422977.0,5422977.0,5422977.0,5303671.506,5303671.506,5303671.506,5245331.119434,5166651.15264249,5166651.15264249,5161484.501489848,5161484.501489848,5161484.501489848,5161484.501489848,5161484.501489848,5161484.501489848,5125354.109979419,5125354.109979419,5125354.109979419,5068975.214769646,5068975.214769646,5068975.214769646,5068975.214769646,5119664.9669173425,5119664.9669173425,5119664.9669173425,5181100.946520351,5181100.946520351,5422977.0,Darlan,Pereira Mendes,"Darlan, Pereira Mendes"
308,44266,2788617.3017090657,2944423.485,2970923.296365,3021428.992403205,3042578.9953500275,2972599.678456977,2993407.876206176,2960480.389567908,2916073.1837243894,2936485.69601046,2936485.69601046,2904184.353354345,2849004.8506406127,2849004.8506406127,2849004.8506406127,2849004.8506406127,2849004.8506406127,2868947.884595097,2866078.936710502,2846016.3841535286,2871630.5316109103,2871630.5316109103,2871630.5316109103,2851529.117889634,2865786.763479082,2834263.109080812,2834263.109080812,2774743.583790115,2788617.3017090657,2788617.3017090657,2895205.0,Léo Cittadini,Cittadini,"Léo Cittadini, Cittadini"
309,489154,5279819.19493328,5510110.0,5510110.0,5510110.0,5510110.0,5510110.0,5548680.77,5548680.77,5548680.77,5587521.53539,5548408.884642269,5487376.386911204,5448964.752202826,5367230.280919783,5329659.668953344,5382956.265642878,5382956.265642878,5399105.134439806,5399105.134439806,5350513.188229849,5404018.320112147,5366190.191871363,5366190.191871363,5285697.338993292,5269840.246976312,5285649.767717241,5227507.620272351,5222280.112652079,5269280.633665948,5279819.19493328,5510110.0,Erick,Conrado Carvalho,"Erick, Conrado Carvalho"
310,554535,10840380.84675376,12559010.907,12559010.907,12772514.092419,13015191.860174961,12767903.214831637,12844510.634120626,12446330.804462887,12309421.165613795,12297111.744448181,12161843.515259251,12161843.515259251,12028063.236591399,11895754.540988894,11812484.259201972,11930609.101793991,11751649.96526708,11786904.915162882,11869413.249569021,11643894.39782721,11562387.13704242,11388951.329986785,11309228.670676878,11139590.240616724,11139590.240616724,10916798.43580439,10916798.43580439,10840380.84675376,10840380.84675376,10840380.84675376,12397839.0,Christian,Alves Cardoso,"Christian, Alves Cardoso"
311,48814,10226266.706235344,8930503.0,9010877.527,9010877.527,9010877.527,8641431.548393,8693280.137683358,8754133.098647142,8745378.965548495,8894050.40796282,9045249.264898188,9072385.012692884,9226615.557908664,9226615.557908664,9226615.557908664,9226615.557908664,9226615.557908664,9281975.251256116,9281975.251256116,9439768.83052747,9430329.061696943,9392607.745450156,9458355.999668308,9458355.999668308,9619148.051662669,9936579.937367536,10055818.896615947,10126209.628892258,10298355.192583427,10226266.706235344,8930503.0,Tchê Tchê,das Neves Pinheiro,"Tchê Tchê, das Neves Pinheiro"
312,87685,3148483.0403022817,2514061.736,2597025.773288,2620399.005247592,2620399.005247592,2620399.005247592,2735696.5614784863,2735696.5614784863,2735696.5614784863,2804088.9755154485,2804088.9755154485,2868583.0219523036,2905874.6012376836,2905874.6012376836,2894251.1028327327,2894251.1028327327,2955030.37599222,2981625.6493761498,2987588.900674902,2987588.900674902,2996551.6673769266,3164358.5607500346,3173851.636432285,3151634.674977259,3151634.674977259,3151634.674977259,3151634.674977259,3151634.674977259,3148483.0403022817,3148483.0403022817,2542024.0,I. Fernández,Fernández,"I. Fernández, Fernández"
